貸借取引対象銘柄一覧,20251219,,,,,,,,,
貸借申込日,コード,銘柄名,貸借銘柄区分（東証）,貸借銘柄区分（ＣＸＪ）,貸借銘柄区分（ＪＮＸ）,貸借銘柄区分（ＯＤＸ）,貸借銘柄区分（ＪＡＸ）,貸借銘柄区分（名証）,貸借銘柄区分（福証）,貸借銘柄区分（札証）
20251222,1301,極洋,1,1,1,1,1,0,0,0
20251222,1305,ｉＦＴＰＸ年１,1,1,1,1,1,0,0,0
20251222,1306,ＮＦＴＯＰＩＸ,1,1,1,1,1,0,0,0
20251222,1308,上場ＴＯＰＩＸ,1,1,1,1,1,0,0,0
20251222,1309,ＮＦ中国株上証５０,1,2,2,2,2,0,0,0
20251222,130A,ＶＩＳ,2,2,2,2,2,0,0,0
20251222,1311,ＮＦＴＰＸ３０,1,2,2,2,2,0,0,0
20251222,1319,ＮＦ日経３００,1,2,2,2,2,1,1,1
20251222,1320,ｉＦ２２５年１,1,1,1,1,1,0,0,0
20251222,1321,ＮＦ日経２２５,1,1,1,1,1,0,0,0
20251222,1322,上場パンタ,1,2,2,2,2,0,0,0
20251222,1325,ＮＦブラジル株,1,2,2,2,2,0,0,0
20251222,1326,ＳＰＤＲゴール,1,2,0,2,0,0,0,0
20251222,1328,ＮＦ金価格,1,2,2,2,2,0,0,0
20251222,1329,ｉＳ２２５,1,1,1,1,1,0,0,0
20251222,1330,上場２２５,1,1,1,1,1,0,0,0
20251222,1332,ニッスイ,1,1,1,1,1,0,0,0
20251222,1333,マルハニチロ,1,1,1,1,1,0,0,0
20251222,133A,ＧＸ超短期米国債,1,2,2,2,2,0,0,0
20251222,1343,ＮＦＪ－ＲＥＩＴ,1,1,1,1,1,0,0,0
20251222,1345,上場Ｊリート,1,1,1,1,1,0,0,0
20251222,1346,ＭＸＳ２２５,1,1,1,1,1,0,0,0
20251222,1348,ＭＸＳトピクス,1,1,1,1,1,0,0,0
20251222,1349,アジア債券,1,2,0,2,0,0,0,0
20251222,1356,ＴＰダブルインバース,1,2,2,2,2,0,0,0
20251222,1357,ＮＦ日経ダブインバ,1,1,1,1,1,0,0,0
20251222,1358,上場日経２倍,1,2,2,2,2,0,0,0
20251222,135A,ＶＲＡＩＮ,1,2,2,2,2,0,0,0
20251222,1360,ダブルインバース日経,1,1,1,1,1,0,0,0
20251222,1364,ｉＳＪＰＸ日経４００,1,1,1,1,1,0,0,0
20251222,1365,ｉＦ２２５ダブル,1,2,2,2,2,0,0,0
20251222,1366,ｉＦ２２５Ｗベア,1,2,2,2,2,0,0,0
20251222,1367,ｉＦＴＰＸダブル,1,2,2,2,2,0,0,0
20251222,1368,ｉＦＴＰＸＷベア,1,2,2,2,2,0,0,0
20251222,1369,Ｏｎｅ・日経２２５,1,1,1,1,1,0,0,0
20251222,1375,ユキグニファクトリー,2,2,2,2,2,0,0,0
