品貸料率一覧,,,,,,,,,,,,,,,
（注）取引所区分「東証」の貸株超過株数は東証およびPTSの貸借残高を合算した貸株超過株数です。最高料率および前日品貸料率は１日１株・口当り、また当日品貸料率は１日１株・口当りの品貸料率に当日品貸日数を乗じて表示してあります。,,,,,,,,,,,,,,,
抽出条件,全体,,,,,,,,,,,,,,
貸借申込日,決済日,コード,銘柄名,取引所区分,決算事由,決算等,貸借値段（円）,貸株超過株数,最高料率（円）,当日品貸料率（円）,当日品貸日数,前日品貸料率（円）,備考,制限,応札倍率ランク
20251223,20251225,1306,ＮＦＴＯＰＩＸ,東証,決算,20260710,3588.00,21300,9.00,0.50,1,0.00,,,F
20251223,20251225,1308,上場ＴＯＰＩＸ,東証,決算,20260708,3547.00,4581,60.00,0.00,1,*****,,,F
20251223,20251225,1320,ｉＦ２２５年１,東証,決算,20260710,52090.00,10653,120.00,5.00,1,5.00,,,F
20251223,20251225,1321,ＮＦ日経２２５,東証,決算,20260708,52300.00,81726,120.00,5.00,1,5.00,,,F
20251223,20251225,1329,ｉＳ２２５,東証,決算,20260209,5237.00,0,60.00,*****,*****,*****,満額,,
20251223,20251225,1330,上場２２５,東証,決算,20260708,52400.00,5327,120.00,5.00,1,5.00,,,F
20251223,20251225,1346,ＭＸＳ２２５,東証,決算,20260116,52410.00,1837,120.00,5.00,1,5.00,,,F
20251223,20251225,1358,上場日経２倍,東証,決算,20260710,81690.00,1069,360.00,5.00,1,5.00,,注意,E
20251223,20251225,135A,ＶＲＡＩＮ,東証,決算,20260228,3310.00,0,6.80,*****,*****,*****,満額,,
20251223,20251225,1365,ｉＦ２２５ダブル,東証,決算,20260110,66160.00,3503,140.00,5.00,1,5.00,,,D
20251223,20251225,1369,Ｏｎｅ・日経２２５,東証,決算,20260108,50890.00,0,120.00,*****,*****,*****,満額,,
20251223,20251225,1377,サカタのタネ,東証,決算,20260531,4250.00,0,8.60,*****,*****,*****,満額,,
20251223,20251225,1379,ホクト,東証,決算,20260331,2049.00,0,4.20,*****,*****,*****,満額,,
20251223,20251225,1397,ＳＭＤＡＭ　２２５,東証,決算,20260408,50970.00,12,120.00,5.00,1,5.00,,,F
20251223,20251225,1398,ＳＭＤＡＭ　Ｊリート,東証,決算,20260308,2050.50,0,8.00,*****,*****,*****,満額,,
20251223,20251225,1418,インターライフＨＤ,東証,決算,20260228,677.00,82500,1.40,0.05,1,0.05,,,E
20251223,20251225,1419,タマホーム,東証,決算,20260228,3555.00,245400,7.20,0.15,1,0.15,,,C
20251223,20251225,141A,トライアル,東証,決算,20251231,2861.00,433800,11.60,0.10,1,0.10,,,E
20251223,20251225,1431,Ｌｉｂ　Ｗｏｒｋ,東証,決算,20251231,681.00,22300,5.60,0.05,1,0.05,,注意,F
20251223,20251225,1433,ベステラ,東証,決算,20260131,1254.00,0,2.60,*****,*****,*****,満額,,
20251223,20251225,1466,ｉＦＪ４００Ｗベア,東証,決算,20260110,321.00,0,60.00,*****,*****,*****,満額,,
20251223,20251225,1479,ｉＦＭＳＣＩ人材設備,東証,決算,20260110,44590.00,54,100.00,5.00,1,5.00,,,C
20251223,20251225,147A,ソラコム,東証,決算,20260430,1284.00,37300,2.60,0.05,1,0.05,,,F
20251223,20251225,1487,上場米債ヘッジあり,東証,決算,20260110,12725.00,0,70.00,*****,*****,*****,満額,,
20251223,20251225,1493,Ｏｎｅ・中小型,東証,決算,20260108,22190.00,6,80.00,0.00,1,0.00,,,E
20251223,20251225,1499,ＭＸＳ高配当７０ＭＮ,東証,決算,20260110,9009.00,83,60.00,5.00,1,5.00,,,F
20251223,20251225,1514,住石ホールディングス,東証,決算,20260331,519.00,160600,2.40,0.05,1,0.05,,注意,E
20251223,20251225,153A,カウリス,東証,決算,20251231,1209.00,29000,5.20,0.05,1,0.05,,,F
20251223,20251225,1545,ナスダックヘッジ無,東証,決算,20260810,40070.00,8871,100.00,5.00,1,0.00,,,F
20251223,20251225,1546,ダウヘッジ無,東証,決算,20260810,73380.00,171,160.00,0.00,1,0.00,,,F
20251223,20251225,1550,ＭＸＳ外株ＭＳＣＩ,東証,決算,20260608,7199.00,0,60.00,*****,*****,*****,満額,,
20251223,20251225,1554,上場インデＭＳ世界,東証,決算,20260120,6006.00,0,60.00,*****,*****,*****,満額,,
20251223,20251225,1555,上場インデＡリート,東証,決算,20260110,2569.00,0,60.00,*****,*****,*****,満額,,
20251223,20251225,155A,情報戦略テクノロジー,東証,決算,20251231,1209.00,0,10.40,*****,*****,0.05,満額,注意,
20251223,20251225,1568,ＴＰレバレッジダブル,東証,決算,20260220,718.60,54660,6.00,0.00,1,*****,,,F
20251223,20251225,1569,トピックスインバース,東証,決算,20260220,920.60,0,6.00,*****,*****,*****,満額,,
20251223,20251225,1573,Ｈ株インバース,東証,決算,20261204,7959.00,800,32.00,0.50,1,0.50,,注意,D
20251223,20251225,1591,ＮＦＪＰＸ４００,東証,決算,20260407,30920.00,101,90.00,5.00,1,5.00,,,F
20251223,20251225,1592,上場ＪＰＸ日経４００,東証,決算,20260108,2853.00,0,60.00,*****,*****,*****,満額,,
20251223,20251225,1593,ＭＸＳＪＰＸ４００,東証,決算,20260116,31920.00,10,90.00,5.00,1,5.00,,,F
20251223,20251225,1599,ｉＦＪＰＸ日経４００,東証,決算,20260110,31610.00,2,90.00,5.00,1,5.00,,,F
20251223,20251225,1617,ＮＦ食品Ｔ１７,東証,決算,20260715,41180.00,39,100.00,5.00,1,5.00,,,F
