"申込日","決済日","銘柄コード","銘柄名","取引所区分名","上場区分","速報／確報","融資新規株数","融資返済株数","融資残高株数","貸株新規株数","貸株返済株数","貸株残高株数","差引残高株数","融資新規金額","融資返済金額","融資残高金額","貸株新規金額","貸株返済金額","貸株残高金額","差引残高金額","制度信用・買残高株数","制度信用・売残高株数","融資権利落額","貸株権利落額","合計・更新差金融資値上り","合計・更新差金融資値下り","合計・更新差金貸株値下り","合計・更新差金貸株値上り","総合回転日数","融資・新規回転日数","融資・返済回転日数","融資・残高回転日数","貸株・新規回転日数","貸株・返済回転日数","貸株・残高回転日数"
"2026/01/16","2026/01/20","1301","極洋","東証およびＰＴＳ",,"確報",0,600,2500,0,100,500,2000,0,2976000,12400000,0,496000,2480000,9920000,,,0,0,77500,0,0,15000,15.2,16.4,18.5,17.4,9,9,9
"2026/01/16","2026/01/20","1305","ｉＦＴＰＸ年１","東証およびＰＴＳ",,"確報",0,700,9640,3230,0,11810,-2170,0,2720900,37470680,12555010,0,45905470,-8434790,,,0,0,0,113740,94380,0,31.3,395,51.9,91.7,12.5,34.9,18.4
"2026/01/16","2026/01/20","1306","ＮＦＴＯＰＩＸ","東証およびＰＴＳ",,"確報",5580,5130,18650,11040,8810,88000,-69350,21471840,19740240,71765200,42481920,33900880,338624000,-266858800,,,0,0,0,109200,514620,0,4.1,3.5,4.3,3.9,4.4,4.1,4.2
"2026/01/16","2026/01/20","1308","上場ＴＯＰＩＸ","東証およびＰＴＳ",,"確報",0,1168,6487,3878,855,19418,-12931,0,4433728,24624652,14720888,3245580,73710728,-49086076,,,0,0,0,76550,163950,0,6.7,10.3,3.7,5.5,5.6,11.2,7.4
"2026/01/16","2026/01/20","1309","ＮＦ中国株上証５０","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,6,0,3,6,0,0,0
"2026/01/16","2026/01/20","130A","ＶＩＳ","東証およびＰＴＳ",,"確報",1000,0,15900,0,0,0,15900,478000,0,7600200,0,0,0,7600200,,,0,0,0,14900,0,0,29.4,22.5,42.4,29.4,0,0,0
"2026/01/16","2026/01/20","1311","ＮＦＴＰＸ３０","東証およびＰＴＳ",,"確報",0,41,2200,0,0,558,1642,0,79540,4268000,0,0,1082520,3185480,,,0,0,0,20169,5022,0,29.7,44.1,208.3,72.7,3.4,0,6.9
"2026/01/16","2026/01/20","1319","ＮＦ日経３００","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,4,0,2,4,0,0,0
"2026/01/16","2026/01/20","1320","ｉＦ２２５年１","東証およびＰＴＳ",,"確報",0,0,1586,0,359,14457,-12871,0,0,88578100,0,20050150,807423450,-718845350,,,0,0,0,237900,2222400,0,17.9,289,10.8,20.9,18.4,16.9,17.6
"2026/01/16","2026/01/20","1321","ＮＦ日経２２５","東証およびＰＴＳ",,"確報",1574,165,7436,1068,3468,82880,-75444,88238440,9249900,416862160,59872080,194416080,4646252800,-4229390640,,,0,0,0,1024590,14497600,0,17.2,5.8,9.1,7.1,17.9,20.4,19
"2026/01/16","2026/01/20","1322","上場パンタ","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/01/16","2026/01/20","1325","ＮＦブラジル株","東証およびＰＴＳ",,"確報",0,0,510,310,0,510,0,0,0,138720,84320,0,138720,0,,,0,0,1020,0,0,400,3.8,8.8,27.2,13.2,1.2,2.3,1.6
"2026/01/16","2026/01/20","1326","ＳＰＤＲゴール","東証およびＰＴＳ",,"確報",0,1,385,0,0,0,385,0,67080,25825800,0,0,0,25825800,,,0,0,0,11580,0,0,6.7,33.4,3.8,6.9,1,1,1
"2026/01/16","2026/01/20","1328","ＮＦ金価格","東証およびＰＴＳ",,"確報",1079,0,11586,0,0,100,11486,18763810,0,201480540,0,0,1739000,199741540,,,0,0,0,157605,1500,0,15.3,22.6,11.4,15.2,0,0,0
"2026/01/16","2026/01/20","1329","ｉＳ２２５","東証およびＰＴＳ",,"確報",221,70,17954,118,583,1806,16148,1242241,393470,100919434,663278,3277043,10151526,90767908,,,0,0,0,302651,38607,0,6,16,8.9,11.5,7.2,1.2,2
"2026/01/16","2026/01/20","1330","上場２２５","東証およびＰＴＳ",,"確報",0,0,1573,42,3597,6487,-4914,0,0,88276760,2357040,201863640,364050440,-275773680,,,0,0,0,235950,1506300,0,6.1,16.1,10,12.3,5.9,5.5,5.7
"2026/01/16","2026/01/20","1332","ニッスイ","東証およびＰＴＳ",,"確報",1000,2800,24600,0,0,4600,20000,1157000,3239600,28462200,0,0,5322200,23140000,,,0,0,52800,0,0,9200,8.2,5.7,10.5,7.4,17.4,10.3,12.9
"2026/01/16","2026/01/20","1333","マルハニチロ","東証およびＰＴＳ",,"確報",500,1100,10600,200,9100,300,10300,682750,1502050,14474300,273100,12426050,409650,14064650,,,0,0,173600,0,0,142600,2.2,3,3.8,3.4,1.5,1.4,1.4
"2026/01/16","2026/01/20","133A","ＧＸ超短期米国債","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,4.2,0,2.1,4.2,0,0,0
"2026/01/16","2026/01/20","1343","ＮＦＪ－ＲＥＩＴ","東証およびＰＴＳ",,"確報",46700,0,127580,430,0,34900,92680,104514600,0,285524040,962340,0,78106200,207417840,,,0,0,930120,0,0,396405,19.8,7.6,242.4,14.8,78.9,5678,155.6
"2026/01/16","2026/01/20","1345","上場Ｊリート","東証およびＰＴＳ",,"確報",0,0,1400,0,0,0,1400,0,0,2929500,0,0,0,2929500,,,0,0,18200,0,0,0,0,0,0,0,0,0,0
"2026/01/16","2026/01/20","1346","ＭＸＳ２２５","東証およびＰＴＳ",,"確報",1558,0,1766,122,152,3270,-1504,86780600,0,98366200,6795400,8466400,182139000,-83772800,,,0,0,0,27040,429000,0,2.4,2.1,2.4,2.2,2.3,2.5,2.4
"2026/01/16","2026/01/20","1348","ＭＸＳトピクス","東証およびＰＴＳ",,"確報",4830,5400,7686,2012,0,6790,896,18310530,20471400,29137626,7627492,0,25740890,3396736,,,0,0,0,99072,57336,0,1.8,1.6,1.9,1.7,1.9,1.9,1.9
"2026/01/16","2026/01/20","1349","アジア債券","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/01/16","2026/01/20","1356","ＴＰダブルインバース","東証およびＰＴＳ",,"確報",0,14520,199810,0,14910,0,199810,0,2146056,29531918,0,2203698,0,29531918,,,0,0,257196,0,0,17892,4.2,5.2,4.8,5,1,0.7,0.8
"2026/01/16","2026/01/20","1357","ＮＦ日経ダブインバ","東証およびＰＴＳ",,"確報",2878,36155,743472,6781,2515,211500,531972,14505120,182221200,3747098880,34176240,12675600,1065960000,2681138880,,,0,0,22525721,0,0,6009786,10,13,13.6,13.3,5.4,4.7,5
"2026/01/16","2026/01/20","1358","上場日経２倍","東証およびＰＴＳ",,"確報",2,0,15,0,500,2724,-2709,187400,0,1405500,0,46850000,255238800,-253833300,,,0,0,0,6500,1612000,0,6.8,2.7,1.1,1.6,6.6,9.4,7.7
"2026/01/16","2026/01/20","135A","ＶＲＡＩＮ","東証およびＰＴＳ",,"確報",1800,1600,60000,300,100,60000,0,5427000,4824000,180900000,904500,301500,180900000,0,,,0,0,0,1495000,1495000,0,13.3,6.8,7.9,7.3,41.1,239.8,70.2
"2026/01/16","2026/01/20","1360","ダブルインバース日経","東証およびＰＴＳ",,"確報",334100,9600,6099460,0,2000,7600,6091860,41361580,1188480,755113148,0,247600,940880,754172268,,,0,0,4619968,0,0,7680,14.7,14.8,15.4,15.1,1.2,0.7,0.9
"2026/01/16","2026/01/20","1364","ｉＳＪＰＸ日経４００","東証およびＰＴＳ",,"確報",0,0,12,0,0,12,0,0,0,40692,0,0,40692,0,,,0,0,0,252,252,0,120,0,60,120,0,60,120
"2026/01/16","2026/01/20","1365","ｉＦ２２５ダブル","東証およびＰＴＳ",,"確報",0,0,544,117,842,3325,-2781,0,0,41175360,8855730,63730980,251669250,-210493890,,,0,0,0,233920,1741500,0,4.7,3.8,2,2.6,6.3,4.4,5.2
"2026/01/16","2026/01/20","1366","ｉＦ２２５Ｗベア","東証およびＰＴＳ",,"確報",0,18913,566180,0,0,0,566180,0,2401951,71904860,0,0,0,71904860,,,0,0,1170186,0,0,0,19.7,32.3,14.2,19.7,0,0,0
"2026/01/16","2026/01/20","1367","ｉＦＴＰＸダブル","東証およびＰＴＳ",,"確報",34,148,584,5,26,677,-93,2154240,9377280,37002240,316800,1647360,42894720,-5892480,,,0,0,0,216380,216380,0,12.8,7.9,6.8,7.3,31.2,94.3,46.8
"2026/01/16","2026/01/20","1368","ｉＦＴＰＸＷベア","東証およびＰＴＳ",,"確報",0,0,1976,25,0,106,1870,0,0,422864,5350,0,22684,400180,,,0,0,3952,0,0,162,42.2,1142,30.9,60.1,4.5,6.9,5.4
"2026/01/16","2026/01/20","1369","Ｏｎｅ・日経２２５","東証およびＰＴＳ",,"確報",0,0,5,0,0,333,-328,0,0,271050,0,0,18051930,-17780880,,,0,0,0,700,46620,0,3.6,30,6,10,15.4,2,3.5
"2026/01/16","2026/01/20","1375","ユキグニファクトリー","東証およびＰＴＳ",,"確報",300,0,1300,0,0,0,1300,323100,0,1400100,0,0,0,1400100,,,0,0,7000,0,0,0,12.4,9.3,18.7,12.4,0,0,0
"2026/01/16","2026/01/20","1376","カネコ種苗","東証およびＰＴＳ",,"確報",0,100,800,0,0,0,800,0,155600,1244800,0,0,0,1244800,,,0,0,1800,0,0,0,8.6,0,4.3,8.6,0,0,0
"2026/01/16","2026/01/20","1377","サカタのタネ","東証およびＰＴＳ",,"確報",500,2400,13300,100,2600,10400,2900,2027500,9732000,53931500,405500,10543000,42172000,11759500,,,0,0,0,684000,580500,0,5,4.2,4,4.1,8.2,5.7,6.7
"2026/01/16","2026/01/20","1379","ホクト","東証およびＰＴＳ",,"確報",0,100,300,0,100,100,200,0,202800,608400,0,202800,202800,405600,,,0,0,0,2400,1200,0,4.2,4.9,4.3,4.5,2.7,4,3.2
