貸借取引銘柄別制限措置等一覧
本資料は情報提供を目的に作成した参考資料ですので、実際の制限措置の実施・解除等については必ず社発（銘柄別制限措置に係る通知書面）にてご確認ください。
（注１）注意喚起は通知日、申込制限および申込停止は当初実施日を記載。実施内容の変更履歴については、社発または貸借取引情報サイトにてご確認ください。
（注２）制限措置等は、当該銘柄が上場するまたは取扱いのある全ての市場において実施されます。
直近発表,銘柄コード,銘柄名,実施措置,実施内容,通知日・実施日,後場停止
,1309,ＮＥＸＴＦＵＮＤＳ中国株式上証５０連動型,申込停止,新規売り,2022/07/06,
,1319,日経３００株価指数連動型上場投信,申込停止,新規売り,2025/07/01,
,1322,上場インデックス中国ＡパンダＥ　ＦＵＮＤ,申込停止,新規売り,2015/07/09,
,1325,ブラジル株式指数・ボベスパ連動型上場投信,注意喚起,,2025/07/10,
,1349,ＡＢＦ汎アジア債券インデックス・ファンド,申込停止,新規売り,2018/09/06,
,1358,上場インデックスＦ日経レバレッジ指数,注意喚起,,2025/09/12,
,1365,ｉＦｒｅｅＥＴＦ日経平均レバレッジインデ,注意喚起,,2026/01/06,
,1418,インターライフホールディングス,申込停止,新規売り・現引き,2026/01/28,
,1419,タマホーム,申込停止,新規売り・現引き,2026/01/16,
,1434,ＪＥＳＣＯホールディングス,注意喚起,,2026/01/15,
,1466,ｉＦ　ＪＰＸ日経４００ダブルインバース,申込停止,新規売り,2026/01/07,
,1469,ＪＰＸ日経４００ベア２倍上場投信,申込停止,新規売り・現引き,2025/08/18,
,1472,ＮＥＸＴＦＵＮＤＳＪＰＸ４００Ｗインバー,申込停止,新規売り,2025/04/03,
,1480,ＮＥＸＴＦＵＮＤＳ野村企業価値分配指数,申込停止,新規売り,2024/10/16,
,1485,ＭＡＸＩＳ設備・人材積極投資企業２００,申込停止,新規売り,2024/01/12,
,1490,日本株高配当低ボラティリティ（βヘッジ）,申込停止,新規売り,2021/07/01,
,1495,上場インデックスファンドアジアリート,申込停止,新規売り,2024/01/17,
,1514,住石ホールディングス,申込停止,新規売り・現引き,2026/01/29,
,1518,三井松島ホールディングス,注意喚起,,2025/10/02,
,1541,純プラチナ上場信託（現物国内保管型）,注意喚起,,2025/12/26,
,1542,純銀上場信託（現物国内保管型）,注意喚起,,2025/12/29,
,1543,純パラジウム上場信託（現物国内保管型）,申込停止,新規売り,2019/01/11,
,1551,東証スタンダードＴＯＰ２０ＥＴＦ,申込停止,新規売り,2025/06/12,
,1557,ＳｔａｔｅＳｔ　ＳＰＤＲ　Ｓ＆Ｐ　５００,申込停止,新規売り,2019/12/10,
,1566,上場インデックスファンド新興国債券,注意喚起,,2026/01/09,
,1572,中国Ｈ株ブル２倍上場投信,申込停止,新規売り,2015/07/14,
,1573,中国Ｈ株ベア上場投信,注意喚起,,2025/12/05,
,1577,ＮＥＸＴＦＵＮＤＳ野村日本株高配当７０,注意喚起,,2025/10/08,
,159A,ＪＰＸプライム１５０指数連動型上場投信,申込停止,新規売り,2024/03/19,
,1652,ｉＦ　ＭＳＣＩ日本株女性活躍指数ＷＩＮ,申込停止,新規売り,2025/01/08,
,1654,ｉＦ　ＦＴＳＥ　ＪＰＸ　ＢｌｏｓｓｏｍＪ,申込停止,新規売り,2026/01/07,
,1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,申込停止,新規売り,2016/01/12,
,1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,申込停止,新規売り,2016/01/12,
,1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,申込停止,新規売り,2016/01/07,午後立会分より
,1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投信,申込停止,新規売り,2016/01/12,
,1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット,申込停止,新規売り,2016/01/12,
,1677,上場インデックスファンド海外債券ＦＴＳＥ,申込停止,新規売り,2025/06/10,
,1679,ＮＹダウジョーンズインデックス上場投信,申込停止,新規売り,2024/11/13,
,1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投信,申込停止,新規売り,2018/03/30,
,1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投信,申込停止,新規売り,2019/03/01,午後立会分より
,1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投信,申込停止,新規売り,2019/03/04,
,1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,申込停止,新規売り,2020/01/21,
,1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,申込停止,新規売り,2020/04/03,
,1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投信,申込停止,新規売り,2018/03/30,
,1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ原油上場投信,申込停止,新規売り,2018/03/30,
,1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投信,申込停止,新規売り,2018/03/30,
,1692,ＷｉｓｄｏｍＴｒｅｅアルミニウム上場投信,申込停止,新規売り,2018/03/30,
,1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,申込停止,新規売り,2018/03/30,
,1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投信,申込停止,新規売り,2018/03/30,
,1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,申込停止,新規売り,2018/03/30,
,1696,ＷｉｓｄｏｍＴｒｅｅとうもろこし上場投信,申込停止,新規売り,2018/03/30,
,1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,申込停止,新規売り,2018/03/30,
,170A,ＳＭＴ　ＥＴＦ日本好配当株アクティブ,申込停止,新規売り,2025/04/09,
,178A,グローバルＸ　革新的優良企業　ＥＴＦ,注意喚起,,2025/09/18,
,180A,グローバルＸ　超長期米国債　ＥＴＦ,注意喚起,,2025/08/18,
,181A,ＭＡＸＩＳ米国国債１－３年上場投信為なし,申込停止,新規売り,2024/04/30,
,182A,ＭＡＸＩＳ米国国債２０年超上場投信為なし,申込停止,新規売り,2024/04/30,
,183A,ＭＡＸＩＳ米国国債２０年超上場投信為あり,申込停止,新規売り,2024/04/30,
,1840,（株）土屋ホールディングス,申込停止,新規売り,2020/12/16,午後立会分より
,1867,植木組,注意喚起,,2025/09/08,
,188A,グローバルＸ　インド・トップ１０＋ＥＴＦ,申込停止,新規売り,2025/06/04,
,1892,徳倉建設,申込停止,新規売り,2017/04/24,
,1949,住友電設,申込停止,新規売り・現引き,2025/10/31,
,2009,鳥越製粉,注意喚起,,2026/01/05,
,2011,ＳＭＤＡＭＡｃｔｉｖｅＥＴＦ日本高配当株,申込停止,新規売り,2024/11/18,
,2015,ｉＦｒｅｅＥＴＦ米国国債７－１０年為なし,注意喚起,,2025/11/27,
,2016,ｉＦｒｅｅＥＴＦ米国国債７－１０年為あり,注意喚起,,2026/01/28,
,2018,グローバルＸ　ＵＳ　ＲＥＩＴ・トップ２０,申込停止,新規売り,2024/04/22,
,2019,グローバルＸ　米国優先証券ＥＴＦ隔月分配,申込停止,新規売り,2024/03/19,
,2084,日本高配当株アクティブ上場投信,注意喚起,,2025/12/26,
,2086,ＮＺＡＭ上場投信Ｓ＆Ｐ５００為替ヘッジ有,注意喚起,,2025/10/24,
,2087,ＮＺＡＭ上場投信ＮＡＳＤＡＱ１００為ヘ有,申込停止,新規売り,2023/09/25,
,2088,ＮＺＡＭ上場投信ＮＹダウ３０為替ヘッジ有,申込停止,新規売り,2023/09/25,
,2089,ＮＺＡＭ上場投信ＤＡＸ（為替ヘッジあり）,申込停止,新規売り,2023/09/25,
,2090,ＮＺＡＭ上場投信米国国債７－１０年為ヘ有,申込停止,新規売り,2023/09/25,
,2091,ＮＺＡＭ上場投信ドイツ国債７－１０年ヘ有,申込停止,新規売り,2023/09/25,
,2092,ＮＺＡＭ上場投信フランス国債７－１０ヘ有,申込停止,新規売り,2023/09/25,
,2093,上場Ｔｒａｃｅｒｓ米国債０－２年ラダ為無,申込停止,新規売り,2023/10/06,
,2094,東証ＲＥＩＴインバースＥＴＦ,注意喚起,,2025/06/06,
,2095,グローバルＸ　Ｓ＆Ｐ５００配当貴族為ヘ有,申込停止,新規売り,2024/01/19,
,2096,グローバルＸオフィスＪ－ＲＥＩＴ　ＥＴＦ,申込停止,新規売り,2025/02/19,
,2097,グローバルＸレジデンシャル・Ｊ－ＲＥＩＴ,申込停止,新規売り,2025/04/22,
,2098,グローバルＸホテル＆リテールＪ－ＲＥＩＴ,注意喚起,,2025/04/21,
,2179,（株）成学社,申込停止,新規売り,2021/10/01,
,2196,（株）エスクリ,申込停止,新規売り・現引き,2026/01/29,
,219A,Ｈｅａｒｔｓｅｅｄ,申込停止,新規売り・現引き,2025/12/09,
,2209,井村屋グループ,申込停止,新規売り,2017/04/24,
,2215,第一屋製パン,申込停止,新規売り・現引き,2025/11/27,
,221A,ＭＡＸＩＳ日経半導体株上場投信,注意喚起,,2026/01/26,
,2235,上場インデックス米国株式ダウ平均為替なし,申込停止,新規売り,2022/12/19,
,2236,グローバルＸ　Ｓ＆Ｐ５００　配当貴族,注意喚起,,2025/07/24,
,2237,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００レバレッジ,申込停止,新規売り,2023/02/02,
,2238,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００インバース,申込停止,新規売り,2023/02/02,
,2239,上場インデックスＳ＆Ｐ５００先物レバ２倍,申込停止,新規売り,2023/03/20,
,2240,上場インデックスＳ＆Ｐ５００先物インバー,申込停止,新規売り,2023/03/20,
,2241,ＭＡＸＩＳ　ＮＹダウ上場投信,申込停止,新規売り,2023/07/26,
,2242,ＭＡＸＩＳ　ＮＹダウ上場投信為替ヘッジ有,申込停止,新規売り,2025/05/16,
,2245,ブルームバーグドイツ国債７－１０年為有,申込停止,新規売り,2023/04/27,
,2246,ブルームバーグフランス国債７－１０年為有,申込停止,新規売り,2023/04/27,
,2247,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００為替なし,注意喚起,,2025/10/24,
,2248,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００為替あり,注意喚起,,2025/09/10,
,2249,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００ダブルイン,申込停止,新規売り,2023/05/15,
,224A,グローバルＸ　ウラニウムビジネス　ＥＴＦ,注意喚起,,2026/01/26,
,2252,Ｍｏｒｎｉｎｇｓｔａｒ米国中小型Ｍｏａｔ,注意喚起,,2025/05/29,
,2253,グローバルＸスーパーディビィデンド－ＵＳ,申込停止,新規売り,2024/01/19,
,2254,グローバルＸ　チャイナＥＶ＆バッテリー,申込停止,新規売り,2023/12/22,
,2256,ｉシェアーズ　米国総合債券　ＥＴＦ,申込停止,新規売り,2023/11/29,
