"申込日","決済日","銘柄コード","銘柄名","取引所区分名","上場区分","速報／確報","融資新規株数","融資返済株数","融資残高株数","貸株新規株数","貸株返済株数","貸株残高株数","差引残高株数","融資新規金額","融資返済金額","融資残高金額","貸株新規金額","貸株返済金額","貸株残高金額","差引残高金額","制度信用・買残高株数","制度信用・売残高株数","融資権利落額","貸株権利落額","合計・更新差金融資値上り","合計・更新差金融資値下り","合計・更新差金貸株値下り","合計・更新差金貸株値上り","総合回転日数","融資・新規回転日数","融資・返済回転日数","融資・残高回転日数","貸株・新規回転日数","貸株・返済回転日数","貸株・残高回転日数"
"2025/12/16","2025/12/18","1301","極洋","東証およびＰＴＳ",,"確報",400,200,1800,0,0,0,1800,1866000,933000,8397000,0,0,0,8397000,,,0,0,16000,0,0,0,9,7.4,11.6,9,0,0,0
"2025/12/16","2025/12/18","1305","ｉＦＴＰＸ年１","東証およびＰＴＳ",,"確報",300,60,12530,0,30,10750,1780,1071900,214380,44769690,0,107190,38409750,6359940,,,0,0,0,749690,657580,0,81.9,38.7,236.6,66.4,1378.8,56.9,109.2
"2025/12/16","2025/12/18","1306","ＮＦＴＯＰＩＸ","東証およびＰＴＳ",,"確報",26480,0,65980,12950,60880,98030,-32050,93686240,0,233437240,45817100,215393440,346830140,-113392900,,,0,0,0,2686000,9925280,0,4.4,3.9,9.8,5.6,4.3,4,4.2
"2025/12/16","2025/12/18","1308","上場ＴＯＰＩＸ","東証およびＰＴＳ",,"確報",6750,0,20885,1202,2608,11657,9228,23584500,0,72972190,4199788,9112352,40729558,32242632,,,0,0,0,848100,783780,0,3.9,3.2,16.8,5.4,3.5,2.9,3.2
"2025/12/16","2025/12/18","1309","ＮＦ中国株上証５０","東証およびＰＴＳ",,"確報",10,0,42,0,0,0,42,518800,0,2178960,0,0,0,2178960,,,0,0,0,24640,0,0,31.3,17.2,172,31.3,0,0,0
"2025/12/16","2025/12/18","130A","ＶＩＳ","東証およびＰＴＳ",,"確報",500,0,9400,0,0,0,9400,245000,0,4606000,0,0,0,4606000,,,0,0,0,17800,0,0,93,93,93,93,0,0,0
"2025/12/16","2025/12/18","1311","ＮＦＴＰＸ３０","東証およびＰＴＳ",,"確報",381,0,2521,0,104,100,2421,678561,0,4489901,0,185224,178100,4311801,,,0,0,0,29960,2856,0,8.7,9.2,10.2,9.6,2.3,2.3,2.3
"2025/12/16","2025/12/18","1319","ＮＦ日経３００","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/12/16","2025/12/18","1320","ｉＦ２２５年１","東証およびＰＴＳ",,"確報",121,0,1689,952,1546,10846,-9157,6189150,0,86392350,48694800,79077900,554772900,-468380550,,,0,0,0,1238720,9037600,0,18.2,65.2,0,130.5,30.4,11.2,16.4
"2025/12/16","2025/12/18","1321","ＮＦ日経２２５","東証およびＰＴＳ",,"確報",682,0,5401,47,11512,86502,-81101,34993420,0,277125310,2411570,590680720,4438417620,-4161292310,,,0,0,0,3586440,74454920,0,16.6,6.4,5.4,5.9,29.9,13,18.1
